n,procs,tempo_total,comm_time,overhead
1000,1,0.001185,0.000000,0.00
1000,2,0.005732,0.008836,152.43
1000,4,0.008857,0.029596,333.93
1000,8,0.106685,0.815823,753.13
5000,1,0.026599,0.000000,0.00
5000,2,0.038526,0.038668,100.22
5000,4,0.068788,0.214464,310.42
5000,8,19.567100,156.308333,793.99
10000,1,0.117822,0.000000,0.00
10000,2,0.098446,0.067558,67.75
10000,4,0.101155,0.233138,230.38
10000,8,0.363267,2.616410,717.09
50000,1,2.231503,0.000000,0.00
50000,2,1.375013,0.258292,18.76
50000,4,1.286337,1.999767,155.43
50000,8,1.815663,9.866967,527.88
100000,1,9.018833,0.000000,0.00
100000,2,5.339733,0.630777,11.72
100000,4,4.552500,6.204267,136.33
100000,8,4.189100,16.155967,385.61
